advertised_in_this_codex_session,skill,family,verdict,use,reason,path,resolved_path,lines,sha256
True,accessibility,agents,Revise,Core,"Keep the capability. Correct large-text contrast thresholds from 18px/14px bold to 18pt/14pt bold, approximately 24px/18.67px. Keep keyboard and assistive-technology verification.",/Users/wulymammoth/.agents/skills/accessibility/SKILL.md,/Users/wulymammoth/.agents/skills/accessibility/SKILL.md,440,65021e9ccab70165539db82070257d4e2e2c7d7b0f857825299da2e4a7a8704c
True,best-practices,agents,Consolidate,Specialist,Broad generic overlap with web-quality-audit and current engineering policy. Retain useful security/browser checks as references; avoid blanket npm update/audit-fix and permissions-policy examples as automatic remediation.,/Users/wulymammoth/.agents/skills/best-practices/SKILL.md,/Users/wulymammoth/.agents/skills/best-practices/SKILL.md,583,f32182e2cd742818f6b3b86f40be319eeae9cb10e392e3e4a8e8f586bad4eccf
True,core-web-vitals,agents,Revise,Specialist,Keep targeted LCP/INP/CLS diagnosis. Correct the claim that a whole SVG is an LCP candidate and clarify the per-page interaction calculation; retain measured field/lab distinctions.,/Users/wulymammoth/.agents/skills/core-web-vitals/SKILL.md,/Users/wulymammoth/.agents/skills/core-web-vitals/SKILL.md,441,b03396c9bd7a41950bbaf5964bc8f1cf60a3c81830a6171614d6413c8bff308c
True,ctx,agents,Retire,Duplicate,Exact duplicate of ~/.codex/skills/ctx/SKILL.md. Disable this path for Codex discovery only; preserve manager-owned copies used by other agents.,/Users/wulymammoth/.agents/skills/ctx/SKILL.md,/Users/wulymammoth/.agents/skills/ctx/SKILL.md,252,7f9b77506ef0149db93773f6ca0dd7bda64c25ff87e04afcd28e5d38b928a1e8
True,find-skills,agents,Revise,Specialist,"Useful only when a real capability gap exists. Star/install counts are weak quality proxies; assess source, applicability, permissions, tests, and maintenance instead of popularity alone.",/Users/wulymammoth/.agents/skills/find-skills/SKILL.md,/Users/wulymammoth/.agents/skills/find-skills/SKILL.md,142,1e85f6f9686e145aca4a124e3b704b9bbea9aa87e08515c1e352eee70f6e6e7a
True,grill-me,agents,Keep,Specialist,"A small, distinct opt-in challenge mode. Useful when you request intensive questioning; not a default pre-coding ceremony.",/Users/wulymammoth/.agents/skills/grill-me/SKILL.md,/Users/wulymammoth/.agents/skills/grill-me/SKILL.md,10,74147eb6010a65957efef2b9e0f0b3ff935c1def7fc117697151b1d0f3610556
True,grill-with-docs,agents,Revise,Specialist,"Useful documentation-aware challenge mode, but adapt its automatic CONTEXT.md glossary writing to your existing authoritative documents and accepted decision process. It overlaps grill-me and can become its documentation mode.",/Users/wulymammoth/.agents/skills/grill-with-docs/SKILL.md,/Users/wulymammoth/.agents/skills/grill-with-docs/SKILL.md,88,3e35025119ba03efe7983dfdec3c8b96918142e3978512f3c2bf66d428310c7e
True,gsd,agents,Retire,Unused workflow,You report no recent GSD use. Legacy 1.0.0 conversion duplicates the newer commands; upstream conversion describes itself as untested.,/Users/wulymammoth/.agents/skills/gsd/SKILL.md,/Users/wulymammoth/.agents/skills/gsd/SKILL.md,241,fb83d9389fd1364cea82cc751f6e8a5098e60f66762ba1719a53020277102390
True,gsd-add-backlog,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-add-backlog/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-add-backlog/SKILL.md,77,7a410f57978040b1409283ad1dd796776b6511b8331eb4e49070a811d7e0995e
True,gsd-add-phase,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-add-phase/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-add-phase/SKILL.md,44,d87c6abdb2318bdca788724bb0d54981da33f423f2b52fbae4b65940adf6c495
True,gsd-add-tests,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-add-tests/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-add-tests/SKILL.md,38,e6374d37ecada2384d8c5b7122cacd5e71f7010bc718d7f3c800ac2785edfb7b
True,gsd-add-todo,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-add-todo/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-add-todo/SKILL.md,48,cd6a6e01da7d3fdf18f4cb9798d2abb8e2bd9e2387332321516d373bf86e664a
True,gsd-ai-integration-phase,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-ai-integration-phase/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-ai-integration-phase/SKILL.md,37,fe36b687773ff7ebdf1079876d812d4110e7fa59e24d7bf5c85a607ab55384c0
True,gsd-analyze-dependencies,agents,Retire,Unused workflow,You report no recent GSD use. Keep available only if a future project explicitly chooses GSD; preserve its runtime and project history during initial deactivation.,/Users/wulymammoth/.agents/skills/gsd-analyze-dependencies/SKILL.md,/Users/wulymammoth/.agents/skills/gsd-analyze-dependencies/SKILL.md,35,1e7ab3cb385311c06b514a9f2e2a650382193f9d235b4cea4a912bb7faf3c34e
